"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.8697","3.8748","3.8748","3.8697","1.07%"
"2022년 12월 18일","3.8289","3.8340","3.8340","3.8289","-0.32%"
"2022년 12월 16일","3.8410","3.8790","3.8790","3.8320","0.05%"
"2022년 12월 15일","3.8390","3.8280","3.8990","3.7480","1.03%"
"2022년 12월 14일","3.8000","3.8560","3.8610","3.7720","0.26%"
"2022년 12월 13일","3.7900","3.7800","3.8380","3.7290","1.28%"
"2022년 12월 12일","3.7420","3.7320","3.7650","3.7010","-0.14%"
"2022년 12월 11일","3.7473","3.7473","3.7473","3.7473","0.54%"
"2022년 12월 09일","3.7270","3.6770","3.7570","3.6550","1.61%"
"2022년 12월 08일","3.6680","3.6340","3.7130","3.4990","-0.24%"
"2022년 12월 07일","3.6770","3.7670","3.7720","3.6440","-1.66%"
"2022년 12월 06일","3.7390","3.8410","3.8660","3.7310","-1.76%"
"2022년 12월 05일","3.8060","3.8290","3.8460","3.7880","-0.99%"
"2022년 12월 04일","3.8442","3.8442","3.8442","3.8442","0.87%"
"2022년 12월 02일","3.8110","3.9600","3.9670","3.8030","-3.30%"
"2022년 12월 01일","3.9410","3.9760","3.9850","3.8580","-0.48%"
"2022년 11월 30일","3.9600","4.0040","4.0400","3.9450","-0.65%"
"2022년 11월 29일","3.9860","4.0400","4.0450","3.9780","-0.90%"
"2022년 11월 28일","4.0220","4.0320","4.0860","4.0220","-1.39%"
"2022년 11월 27일","4.0789","4.0789","4.0789","4.0789","0.84%"
"2022년 11월 25일","4.0450","4.0680","4.0740","4.0380","-0.61%"
"2022년 11월 24일","4.0700","4.0394","4.0700","4.0394","5.50%"
"2022년 11월 23일","3.8580","3.8940","3.9200","3.8350","-0.16%"
"2022년 11월 22일","3.8640","3.8870","3.9200","3.8430","-0.26%"
"2022년 11월 21일","3.8740","3.8850","3.9130","3.8590","-0.61%"
"2022년 11월 20일","3.8978","3.8544","3.8978","3.8544","1.06%"
