"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.6450","3.6467","3.6519","3.6380","-0.28%"
"2022년 12월 18일","3.6553","3.6450","3.6553","3.6450","0.91%"
"2022년 12월 16일","3.6225","3.6320","3.7200","3.5980","0.04%"
"2022년 12월 15일","3.6212","3.6330","3.6730","3.5970","0.14%"
"2022년 12월 14일","3.6162","3.6470","3.7160","3.5970","-0.81%"
"2022년 12월 13일","3.6456","3.7840","3.7930","3.5560","-3.84%"
"2022년 12월 12일","3.7911","3.7830","3.8170","3.7170","0.23%"
"2022년 12월 11일","3.7825","3.7808","3.7825","3.7808","0.28%"
"2022년 12월 09일","3.7721","3.7100","3.7790","3.6600","1.62%"
"2022년 12월 08일","3.7118","3.6380","3.7260","3.6360","2.32%"
"2022년 12월 07일","3.6275","3.7590","3.7690","3.6070","-3.27%"
"2022년 12월 06일","3.7500","3.7880","3.8090","3.7240","-1.01%"
"2022년 12월 05일","3.7881","3.6880","3.8090","3.6860","2.71%"
"2022년 12월 04일","3.6881","3.6915","3.6915","3.6881","0.80%"
"2022년 12월 02일","3.6588","3.6710","3.8210","3.6350","-0.20%"
"2022년 12월 01일","3.6661","3.7490","3.7920","3.6590","-2.29%"
"2022년 11월 30일","3.7522","3.9240","3.9990","3.7380","-4.41%"
"2022년 11월 29일","3.9254","3.8850","3.9410","3.8350","1.35%"
"2022년 11월 28일","3.8733","3.8700","3.9030","3.8140","0.05%"
"2022년 11월 27일","3.8715","3.8750","3.8750","3.8715","0.04%"
"2022년 11월 25일","3.8698","3.8400","3.9510","3.8300","0.72%"
"2022년 11월 24일","3.8421","3.8386","3.8421","3.8386","-0.89%"
"2022년 11월 23일","3.8767","3.9460","4.0020","3.8750","-1.81%"
"2022년 11월 22일","3.9480","3.9880","3.9880","3.9290","-1.89%"
"2022년 11월 21일","4.0242","3.9980","4.0300","3.9440","0.70%"
"2022년 11월 20일","3.9962","3.9980","3.9980","3.9962","-0.31%"
