"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","750.40","756.12","759.80","749.40","","-0.41%"
"2022- 12- 16","753.50","758.25","764.25","750.75","32.61K","-0.50%"
"2022- 12- 15","757.25","749.75","767.00","745.00","51.21K","3.98%"
"2022- 12- 14","728.25","750.00","751.75","737.75","0.07K","-0.07%"
"2022- 12- 13","728.75","741.00","742.50","741.00","0.10K","-0.58%"
"2022- 12- 12","733.00","741.75","760.00","738.25","0.26K","-0.17%"
"2022- 12- 09","734.25","749.75","752.50","730.75","32.51K","-1.61%"
"2022- 12- 08","746.25","749.50","755.50","737.50","35.60K","-0.43%"
"2022- 12- 07","749.50","732.25","756.25","726.25","50.43K","2.81%"
"2022- 12- 06","729.00","739.00","743.50","723.50","52.14K","-1.35%"
"2022- 12- 05","739.00","763.25","768.00","734.00","51.51K","-2.89%"
"2022- 12- 02","761.00","782.00","783.00","755.75","50.92K","-2.81%"
"2022- 12- 01","783.00","795.25","797.25","780.50","41.09K","-1.57%"
"2022- 11- 30","795.50","784.00","799.25","781.50","45.18K","1.79%"
"2022- 11- 29","781.50","780.25","792.00","777.50","51.02K","0.10%"
"2022- 11- 28","780.75","793.25","796.25","773.25","76.46K","-2.04%"
"2022- 11- 25","797.00","809.75","820.25","792.50","34.41K","0.58%"
"2022- 11- 24","792.38","793.25","793.25","791.62","","-2.60%"
"2022- 11- 23","813.50","811.75","817.00","800.25","42.85K","0.37%"
"2022- 11- 22","810.50","816.50","825.00","809.00","36.92K","1.41%"
"2022- 11- 21","799.25","805.25","808.75","786.00","32.91K","-0.50%"
