"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","3,671.30","3,660.87","3,692.61","3,659.91","5.42M","0.36%"
"2022- 12- 16","3,658.15","3,704.63","3,709.03","3,639.46","18.09M","-1.51%"
"2022- 12- 15","3,714.06","3,731.97","3,747.81","3,702.30","9.29M","-1.11%"
"2022- 12- 14","3,755.58","3,730.97","3,757.11","3,719.87","8.34M","0.15%"
"2022- 12- 13","3,749.83","3,703.28","3,776.23","3,688.72","7.92M","1.45%"
"2022- 12- 12","3,696.17","3,709.94","3,725.18","3,687.16","6.21M","-0.68%"
"2022- 12- 09","3,721.33","3,704.29","3,722.70","3,685.74","6.09M","0.78%"
"2022- 12- 08","3,692.60","3,702.59","3,710.52","3,670.21","5.77M","-0.38%"
"2022- 12- 07","3,706.62","3,705.39","3,723.00","3,699.85","7.68M","-0.66%"
"2022- 12- 06","3,731.20","3,729.71","3,759.35","3,714.88","7.18M","-0.07%"
"2022- 12- 05","3,733.99","3,747.03","3,765.68","3,732.25","7.77M","-0.54%"
"2022- 12- 02","3,754.22","3,686.33","3,754.22","3,683.84","7.82M","1.53%"
"2022- 12- 01","3,697.81","3,705.53","3,715.78","3,676.63","8.09M","0.35%"
"2022- 11- 30","3,684.98","3,685.29","3,699.20","3,667.25","30.37M","0.71%"
"2022- 11- 29","3,659.13","3,681.13","3,684.86","3,656.93","7.56M","-0.62%"
"2022- 11- 28","3,682.06","3,697.44","3,714.63","3,682.06","6.80M","-0.70%"
"2022- 11- 25","3,707.95","3,703.46","3,712.81","3,692.52","4.15M","0.17%"
"2022- 11- 24","3,701.57","3,662.44","3,701.57","3,659.93","5.18M","1.27%"
"2022- 11- 23","3,655.32","3,666.55","3,667.56","3,638.13","5.42M","0.11%"
"2022- 11- 22","3,651.22","3,645.89","3,662.95","3,628.31","5.03M","0.20%"
"2022- 11- 21","3,643.88","3,639.83","3,653.55","3,620.66","5.35M","-0.22%"
