"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 18","10,251.68","10,268.56","10,316.41","10,233.96","117.48M","-0.38%"
"2022- 12- 15","10,290.42","10,232.49","10,294.65","10,181.92","231.70M","0.41%"
"2022- 12- 14","10,248.12","10,289.82","10,386.11","10,204.87","347.94M","0.26%"
"2022- 12- 13","10,221.14","10,077.88","10,303.60","10,067.47","534.38M","1.87%"
"2022- 12- 12","10,033.19","10,168.17","10,168.17","9,950.17","642.15M","-1.04%"
"2022- 12- 11","10,138.31","10,263.99","10,326.44","10,122.00","84.26M","-1.06%"
"2022- 12- 08","10,246.61","10,209.21","10,308.63","10,089.12","113.40M","0.60%"
"2022- 12- 07","10,185.14","10,443.52","10,466.64","10,185.14","115.30M","-2.48%"
"2022- 12- 06","10,444.27","10,405.83","10,444.27","10,265.63","133.30M","0.24%"
"2022- 12- 05","10,419.15","10,735.57","10,737.98","10,419.15","116.63M","-2.84%"
"2022- 12- 04","10,723.95","10,853.78","10,858.66","10,722.67","85.62M","-0.91%"
"2022- 12- 01","10,822.65","10,928.97","10,957.64","10,822.65","123.16M","-0.68%"
"2022- 11- 30","10,896.91","10,749.86","10,896.91","10,683.47","169.56M","1.35%"
"2022- 11- 29","10,752.01","10,761.95","10,826.90","10,718.84","109.81M","0.05%"
"2022- 11- 28","10,746.64","10,683.82","10,837.48","10,577.76","111.18M","-0.46%"
"2022- 11- 27","10,796.46","10,935.48","10,936.52","10,744.86","74.79M","-1.30%"
"2022- 11- 24","10,938.75","10,944.69","10,946.02","10,799.57","143.59M","-0.24%"
"2022- 11- 22","10,965.41","10,921.21","10,965.41","10,835.61","80.08M","0.32%"
"2022- 11- 21","10,930.51","11,034.36","11,034.49","10,876.84","101.73M","-1.11%"
"2022- 11- 20","11,053.16","11,139.72","11,142.82","11,022.83","86.42M","-0.80%"
