"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","3,074.64","3,098.95","3,100.64","3,061.51","216.32K","-1.05%"
"2022- 12- 19","3,107.11","3,165.31","3,170.26","3,096.10","27.85B","-1.92%"
"2022- 12- 16","3,167.86","3,156.14","3,175.35","3,151.61","25.98B","-0.02%"
"2022- 12- 15","3,168.65","3,177.20","3,179.10","3,158.45","24.30B","-0.25%"
"2022- 12- 14","3,176.53","3,178.55","3,189.83","3,168.59","26.56B","0.01%"
"2022- 12- 13","3,176.33","3,179.44","3,187.20","3,171.48","28.58B","-0.09%"
"2022- 12- 12","3,179.04","3,195.87","3,196.72","3,176.58","33.34B","-0.87%"
"2022- 12- 09","3,206.95","3,197.12","3,212.11","3,182.91","373.34K","0.30%"
"2022- 12- 08","3,197.35","3,196.02","3,206.72","3,187.26","32.10B","-0.07%"
"2022- 12- 07","3,199.62","3,204.94","3,226.08","3,188.67","35.41B","-0.40%"
"2022- 12- 06","3,212.53","3,200.27","3,224.82","3,195.08","37.36B","0.02%"
"2022- 12- 05","3,211.81","3,181.92","3,213.44","3,177.06","44.74B","1.76%"
"2022- 12- 02","3,156.14","3,160.58","3,170.90","3,149.84","30.78B","-0.29%"
"2022- 12- 01","3,165.47","3,187.99","3,198.41","3,164.53","38.70B","0.45%"
"2022- 11- 30","3,151.34","3,141.40","3,158.57","3,137.37","37.27B","0.05%"
"2022- 11- 29","3,149.75","3,096.11","3,152.00","3,096.11","39.15B","2.31%"
"2022- 11- 28","3,078.55","3,055.29","3,080.18","3,034.70","30.58B","-0.75%"
"2022- 11- 25","3,101.69","3,085.46","3,111.42","3,077.97","31.14B","0.40%"
"2022- 11- 24","3,089.31","3,104.10","3,113.24","3,084.86","26.75B","-0.25%"
"2022- 11- 23","3,096.91","3,084.74","3,108.24","3,075.32","32.62B","0.26%"
"2022- 11- 22","3,088.94","3,084.23","3,118.12","3,076.32","32.76B","0.13%"
"2022- 11- 21","3,085.04","3,078.06","3,085.24","3,056.17","25.60B","-0.39%"
