"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 16","2,046.09","2,076.78","2,084.44","2,043.73","185.47M","-1.61%"
"2022- 12- 15","2,079.52","2,116.04","2,119.10","2,079.52","141.31M","-2.78%"
"2022- 12- 14","2,139.03","2,136.50","2,149.81","2,111.47","124.62M","-0.08%"
"2022- 12- 13","2,140.70","2,115.34","2,162.30","2,106.80","141.47M","1.51%"
"2022- 12- 12","2,108.92","2,104.84","2,111.40","2,095.22","88.41M","-0.36%"
"2022- 12- 09","2,116.45","2,102.71","2,120.76","2,099.35","114.69M","1.17%"
"2022- 12- 08","2,091.88","2,093.31","2,099.77","2,085.68","92.13M","0.17%"
"2022- 12- 07","2,088.43","2,107.53","2,109.77","2,082.81","115.99M","-1.08%"
"2022- 12- 06","2,111.28","2,134.61","2,145.21","2,105.70","139.20M","-1.33%"
"2022- 12- 05","2,139.69","2,128.07","2,145.00","2,123.89","127.63M","0.48%"
"2022- 12- 02","2,129.47","2,123.02","2,136.84","2,110.18","110.60M","0.21%"
"2022- 12- 01","2,125.09","2,125.53","2,137.86","2,115.30","125.69M","1.08%"
"2022- 11- 30","2,102.42","2,105.78","2,120.35","2,097.22","205.04M","0.49%"
"2022- 11- 29","2,092.24","2,103.01","2,108.11","2,089.86","84.85M","-0.20%"
"2022- 11- 28","2,096.38","2,106.90","2,110.82","2,092.49","83.90M","-0.96%"
"2022- 11- 25","2,116.74","2,109.90","2,117.67","2,103.53","58.85M","0.47%"
"2022- 11- 24","2,106.75","2,109.99","2,118.52","2,100.52","74.69M","-0.15%"
"2022- 11- 23","2,109.84","2,103.32","2,112.34","2,098.54","85.06M","0.63%"
"2022- 11- 22","2,096.56","2,082.03","2,103.35","2,072.21","87.01M","0.67%"
"2022- 11- 21","2,082.57","2,082.20","2,093.10","2,072.39","75.24M","-0.23%"
