"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","0.760","0.320","0.760","0.280","0.00%"
"2022년 12월 18일","0.760","0.660","0.760","0.270","171.43%"
"2022년 12월 17일","0.280","0.270","0.320","0.270","-65.00%"
"2022년 12월 16일","0.800","0.320","0.850","0.270","12.68%"
"2022년 12월 15일","0.710","0.030","0.750","-0.080","54.35%"
"2022년 12월 14일","0.460","0.310","0.500","0.180","4.55%"
"2022년 12월 13일","0.440","0.300","0.550","0.230","7.32%"
"2022년 12월 12일","0.410","0.350","0.550","0.190","46.43%"
"2022년 12월 11일","0.280","0.190","0.280","0.180","-28.21%"
"2022년 12월 10일","0.390","0.190","0.390","0.180","0.00%"
"2022년 12월 09일","0.390","0.180","0.430","0.030","0.00%"
"2022년 12월 08일","0.390","0.060","0.430","0.010","18.18%"
"2022년 12월 07일","0.330","0.020","0.410","0.020","0.00%"
"2022년 12월 06일","0.330","-0.050","0.400","-0.050","0.00%"
"2022년 12월 05일","0.330","0.030","0.410","-0.060","57.14%"
"2022년 12월 04일","0.210","0.330","0.330","0.030","-36.36%"
"2022년 12월 03일","0.330","0.330","0.330","0.330","0.00%"
"2022년 12월 02일","0.330","0.110","0.380","-0.110","0.00%"
"2022년 12월 01일","0.330","-0.040","0.380","-0.130","0.00%"
"2022년 11월 30일","0.330","-0.120","0.380","-0.120","0.00%"
"2022년 11월 29일","0.330","-0.120","0.410","-0.120","3.13%"
"2022년 11월 28일","0.320","-0.050","0.370","-0.100","0.00%"
"2022년 11월 27일","0.320","0.100","0.320","0.100","0.00%"
"2022년 11월 26일","0.320","0.320","0.320","0.320","-3.03%"
"2022년 11월 25일","0.330","-0.100","0.370","-0.100","3.13%"
"2022년 11월 24일","0.320","0.030","0.380","-0.690","23.08%"
"2022년 11월 23일","0.260","-0.100","0.350","-0.100","-16.13%"
"2022년 11월 22일","0.310","-0.100","0.350","-0.100","0.00%"
"2022년 11월 21일","0.310","-0.090","0.350","-0.090","0.00%"
"2022년 11월 20일","0.310","0.310","0.310","0.310","0.00%"
"2022년 11월 19일","0.310","0.310","0.310","0.310","0.00%"
