"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","0.600","0.350","0.900","0.350","-28.57%"
"2022년 12월 19일","0.840","0.350","0.880","0.350","95.35%"
"2022년 12월 18일","0.430","0.430","0.430","0.430","22.86%"
"2022년 12월 17일","0.350","0.430","0.430","0.350","-23.91%"
"2022년 12월 16일","0.460","0.350","0.710","0.340","-45.88%"
"2022년 12월 15일","0.850","0.350","0.900","0.350","34.92%"
"2022년 12월 14일","0.630","0.350","0.660","0.350","3.28%"
"2022년 12월 13일","0.610","0.470","0.660","0.360","0.00%"
"2022년 12월 12일","0.610","0.350","0.650","0.350","74.29%"
"2022년 12월 11일","0.350","0.380","0.380","0.350","-37.50%"
"2022년 12월 10일","0.560","0.380","0.560","0.380","-3.45%"
"2022년 12월 09일","0.580","0.370","0.600","0.370","1.75%"
"2022년 12월 08일","0.570","0.300","0.600","0.270","11.76%"
"2022년 12월 07일","0.510","0.300","0.570","0.300","-1.92%"
"2022년 12월 06일","0.520","0.300","0.570","0.300","1.96%"
"2022년 12월 05일","0.510","0.450","0.570","0.300","0.00%"
"2022년 12월 04일","0.510","0.300","0.510","0.300","-1.92%"
"2022년 12월 03일","0.520","0.520","0.520","0.520","0.00%"
"2022년 12월 02일","0.520","0.460","0.550","0.250","0.00%"
"2022년 12월 01일","0.520","0.550","0.550","0.300","0.00%"
"2022년 11월 30일","0.520","0.290","0.560","0.240","-1.89%"
"2022년 11월 29일","0.530","0.300","0.560","0.280","6.00%"
"2022년 11월 28일","0.500","0.300","0.550","0.300","0.00%"
"2022년 11월 27일","0.500","0.300","0.500","0.300","0.00%"
"2022년 11월 26일","0.500","0.450","0.500","0.450","0.00%"
"2022년 11월 25일","0.500","0.300","0.540","0.300","2.04%"
"2022년 11월 24일","0.490","0.430","0.530","0.210","8.89%"
"2022년 11월 23일","0.450","0.430","0.500","0.260","-2.17%"
"2022년 11월 22일","0.460","0.300","0.500","0.270","9.52%"
"2022년 11월 21일","0.420","0.300","0.460","0.230","7.69%"
"2022년 11월 20일","0.390","0.390","0.390","0.390","0.00%"
