"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","1.144","1.112","1.147","1.105","0.09%"
"2022년 12월 16일","1.143","1.153","1.193","1.121","2.51%"
"2022년 12월 15일","1.115","1.036","1.117","0.979","10.18%"
"2022년 12월 14일","1.012","1.039","1.062","1.009","-2.50%"
"2022년 12월 13일","1.038","1.106","1.110","0.999","-1.89%"
"2022년 12월 12일","1.058","1.063","1.063","0.992","0.09%"
"2022년 12월 09일","1.057","0.974","1.057","0.963","12.21%"
"2022년 12월 08일","0.942","0.943","0.961","0.929","0.75%"
"2022년 12월 07일","0.935","0.879","0.953","0.879","3.31%"
"2022년 12월 06일","0.905","1.009","1.009","0.905","-7.65%"
"2022년 12월 05일","0.980","0.968","0.989","0.934","3.38%"
"2022년 12월 02일","0.948","0.934","0.975","0.892","1.72%"
"2022년 12월 01일","0.932","0.965","0.967","0.909","-4.90%"
"2022년 11월 30일","0.980","0.968","1.005","0.966","2.73%"
"2022년 11월 29일","0.954","0.903","0.966","0.894","-0.10%"
"2022년 11월 28일","0.955","0.937","0.987","0.936","-1.95%"
"2022년 11월 25일","0.974","0.860","0.976","0.860","14.19%"
"2022년 11월 24일","0.853","0.848","0.867","0.818","-3.40%"
"2022년 11월 23일","0.883","0.896","0.918","0.873","0.46%"
"2022년 11월 22일","0.879","0.911","0.911","0.867","2.57%"
"2022년 11월 21일","0.857","0.855","0.895","0.848","-0.70%"
