"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 16","10,770.38","10,895.40","10,913.65","10,746.37","118.07M","-1.01%"
"2022- 12- 15","10,880.14","11,093.14","11,093.14","10,880.14","63.34M","-2.51%"
"2022- 12- 14","11,160.69","11,110.09","11,175.45","11,079.52","55.33M","0.22%"
"2022- 12- 13","11,136.62","11,070.62","11,223.47","11,014.16","53.41M","0.93%"
"2022- 12- 12","11,033.64","11,037.36","11,050.30","10,989.77","46.64M","-0.31%"
"2022- 12- 09","11,068.30","11,010.70","11,101.33","10,980.80","68.18M","0.58%"
"2022- 12- 08","11,004.53","11,022.16","11,035.96","10,940.27","44.41M","-0.05%"
"2022- 12- 07","11,009.95","11,062.09","11,077.77","11,000.64","45.71M","-0.89%"
"2022- 12- 06","11,109.33","11,185.68","11,208.11","11,085.28","106.88M","-0.76%"
"2022- 12- 05","11,194.67","11,196.47","11,239.76","11,170.93","107.45M","-0.03%"
"2022- 12- 02","11,198.13","11,206.53","11,234.25","11,122.68","113.72M","-0.36%"
"2022- 12- 01","11,238.20","11,215.50","11,283.87","11,207.56","95.24M","0.99%"
"2022- 11- 30","11,127.77","11,143.07","11,204.88","11,127.77","122.26M","0.45%"
"2022- 11- 29","11,077.81","11,160.09","11,176.97","11,071.56","90.09M","-0.76%"
"2022- 11- 28","11,162.16","11,147.67","11,199.19","11,115.37","78.93M","-0.05%"
"2022- 11- 25","11,168.03","11,166.33","11,188.29","11,140.38","67.76M","0.09%"
"2022- 11- 24","11,157.56","11,088.62","11,175.27","11,085.38","37.17M","0.57%"
"2022- 11- 23","11,094.46","11,077.54","11,104.13","11,066.04","48.21M","0.18%"
"2022- 11- 22","11,074.30","11,074.93","11,104.84","11,046.82","29.67M","-0.10%"
"2022- 11- 21","11,085.04","11,022.75","11,101.92","11,019.98","34.49M","0.36%"
