"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","0.500","0.450","0.690","0.300","25.00%"
"2022년 12월 18일","0.400","0.300","0.400","0.300","0.00%"
"2022년 12월 17일","0.400","0.250","0.400","0.250","0.00%"
"2022년 12월 16일","0.400","0.250","0.800","0.250","-900.00%"
"2022년 12월 15일","-0.050","0.300","0.400","-0.210","0.00%"
"2022년 12월 14일","-0.050","0.300","0.400","-0.170","0.00%"
"2022년 12월 13일","-0.050","-0.100","0.300","-0.190","0.00%"
"2022년 12월 12일","-0.050","0.190","0.350","-0.230","0.00%"
"2022년 12월 11일","-0.050","0.300","0.300","-0.050","0.00%"
"2022년 12월 10일","-0.050","0.300","0.300","-0.050","0.00%"
"2022년 12월 09일","-0.050","0.050","0.300","-0.050","0.00%"
"2022년 12월 08일","-0.050","-0.080","0.530","-0.130","0.00%"
"2022년 12월 07일","-0.050","0.010","0.050","-0.140","-200.00%"
"2022년 12월 06일","0.050","-0.050","0.050","-0.050","0.00%"
"2022년 12월 05일","0.050","-0.050","0.050","-0.100","-200.00%"
"2022년 12월 04일","-0.050","0.050","0.050","-0.050","0.00%"
"2022년 12월 03일","-0.050","0.050","0.050","-0.050","0.00%"
"2022년 12월 02일","-0.050","0.050","0.050","-0.150","0.00%"
"2022년 12월 01일","-0.050","0.050","0.050","-0.150","0.00%"
"2022년 11월 30일","-0.050","0.050","0.050","-0.120","0.00%"
"2022년 11월 29일","-0.050","0.050","0.050","-0.150","0.00%"
"2022년 11월 28일","-0.050","-0.100","0.050","-0.200","0.00%"
"2022년 11월 27일","-0.050","0.050","0.050","-0.050","0.00%"
"2022년 11월 26일","-0.050","0.050","0.050","-0.050","0.00%"
"2022년 11월 25일","-0.050","0.100","0.100","-0.100","0.00%"
"2022년 11월 24일","-0.050","-0.100","0.050","-0.190","0.00%"
"2022년 11월 23일","-0.050","-0.100","0.120","-0.120","0.00%"
"2022년 11월 22일","-0.050","-0.130","0.050","-0.180","0.00%"
"2022년 11월 21일","-0.050","0.050","0.350","-0.340","0.00%"
"2022년 11월 20일","-0.050","0.050","0.050","-0.050","0.00%"
"2022년 11월 19일","-0.050","0.050","0.050","-0.050","-200.00%"
