"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.5020","3.5020","3.5020","3.5020","0.00%"
"2022년 12월 18일","3.5020","3.5020","3.5020","3.5020","1.10%"
"2022년 12월 17일","3.4640","3.4640","3.4640","3.4640","-0.17%"
"2022년 12월 16일","3.4700","3.4330","3.5540","3.4220","2.51%"
"2022년 12월 15일","3.3850","3.4390","3.4440","3.3300","-1.54%"
"2022년 12월 14일","3.4380","3.4750","3.5140","3.2980","-2.02%"
"2022년 12월 13일","3.5090","3.4790","3.5190","3.4210","1.15%"
"2022년 12월 12일","3.4690","3.3850","3.5110","3.3640","1.82%"
"2022년 12월 09일","3.4070","3.3190","3.4080","3.3170","2.65%"
"2022년 12월 08일","3.3190","3.2340","3.3230","3.2210","2.34%"
"2022년 12월 07일","3.2430","3.2260","3.3380","3.2230","-0.40%"
"2022년 12월 06일","3.2560","3.3020","3.3520","3.2000","-1.60%"
"2022년 12월 05일","3.3090","3.3000","3.3480","3.2630","-0.09%"
"2022년 12월 02일","3.3120","3.2210","3.3470","3.1700","2.29%"
"2022년 12월 01일","3.2380","3.1800","3.2760","3.1800","-1.28%"
"2022년 11월 30일","3.2800","3.2490","3.4980","3.2320","1.52%"
"2022년 11월 29일","3.2310","3.2290","3.4800","3.2000","-1.55%"
"2022년 11월 28일","3.2820","3.2310","3.3540","3.2020","0.08%"
"2022년 11월 27일","3.2795","3.2795","3.2795","3.2795","0.14%"
"2022년 11월 26일","3.2750","3.2750","3.2750","3.2750","0.34%"
"2022년 11월 25일","3.2640","3.2350","3.3420","3.2000","2.16%"
"2022년 11월 24일","3.1950","3.0320","3.2020","3.0180","2.60%"
"2022년 11월 23일","3.1140","3.1350","3.1850","3.0900","-0.35%"
"2022년 11월 22일","3.1250","3.1780","3.2500","3.1220","-2.77%"
"2022년 11월 21일","3.2140","3.1790","3.3790","3.1600","0.97%"
