"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","3.285","3.285","3.285","3.285","-0.90%"
"2022년 12월 15일","3.315","3.315","3.315","3.315","0.24%"
"2022년 12월 14일","3.307","3.349","3.349","3.307","-1.25%"
"2022년 12월 13일","3.349","3.349","3.349","3.349","0.39%"
"2022년 12월 12일","3.336","3.336","3.336","3.336","0.76%"
"2022년 12월 09일","3.311","3.311","3.311","3.311","0.52%"
"2022년 12월 08일","3.294","3.294","3.294","3.294","0.09%"
"2022년 12월 07일","3.291","3.291","3.291","3.291","0.00%"
"2022년 12월 06일","3.291","3.291","3.291","3.291","2.01%"
"2022년 12월 05일","3.226","3.226","3.226","3.226","-0.77%"
"2022년 12월 02일","3.251","3.251","3.251","3.251","0.74%"
"2022년 12월 01일","3.227","3.227","3.227","3.227","-0.15%"
"2022년 11월 30일","3.232","3.232","3.232","3.232","2.15%"
"2022년 11월 29일","3.164","3.164","3.164","3.164","1.25%"
"2022년 11월 28일","3.125","3.125","3.125","3.125","0.61%"
"2022년 11월 25일","3.106","3.106","3.106","3.106","-0.51%"
"2022년 11월 24일","3.122","3.122","3.122","3.122","1.00%"
"2022년 11월 23일","3.091","3.091","3.091","3.091","0.19%"
"2022년 11월 22일","3.085","3.085","3.085","3.085","0.00%"
"2022년 11월 21일","3.085","3.085","3.085","3.085","2.97%"
