"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","7,365.04","7,351.20","7,369.90","7,340.90","","0.45%"
"2022- 12- 16","7,332.12","7,426.17","7,429.29","7,305.72","1.83B","-1.27%"
"2022- 12- 15","7,426.17","7,495.93","7,495.93","7,411.07","616.55M","-0.93%"
"2022- 12- 14","7,495.93","7,502.89","7,504.49","7,461.68","744.83M","-0.09%"
"2022- 12- 13","7,502.89","7,445.97","7,553.36","7,428.98","687.82M","0.76%"
"2022- 12- 12","7,445.97","7,476.63","7,476.63","7,438.87","599.81M","-0.41%"
"2022- 12- 09","7,476.63","7,472.17","7,498.04","7,431.44","669.40M","0.06%"
"2022- 12- 08","7,472.17","7,489.19","7,507.98","7,469.12","637.24M","-0.23%"
"2022- 12- 07","7,489.19","7,521.39","7,567.23","7,489.19","726.99M","-0.43%"
"2022- 12- 06","7,521.39","7,567.54","7,567.64","7,521.39","805.28M","-0.61%"
"2022- 12- 05","7,567.54","7,556.23","7,598.21","7,547.76","509.14M","0.15%"
"2022- 12- 02","7,556.23","7,558.49","7,570.46","7,507.98","540.21M","-0.03%"
"2022- 12- 01","7,558.49","7,573.05","7,599.70","7,552.29","642.83M","-0.19%"
"2022- 11- 30","7,573.05","7,512.00","7,599.27","7,512.00","1.39B","0.81%"
"2022- 11- 29","7,512.00","7,474.02","7,543.09","7,473.99","712.72M","0.51%"
"2022- 11- 28","7,474.02","7,486.67","7,496.80","7,420.00","661.71M","-0.17%"
"2022- 11- 25","7,486.67","7,466.60","7,497.23","7,461.78","501.39M","0.27%"
"2022- 11- 24","7,466.60","7,465.24","7,488.07","7,443.46","418.29M","0.02%"
"2022- 11- 23","7,465.24","7,452.84","7,498.34","7,452.84","867.36M","0.17%"
"2022- 11- 22","7,452.84","7,376.85","7,458.88","7,373.56","574.08M","1.03%"
"2022- 11- 21","7,376.85","7,385.52","7,402.79","7,343.37","666.22M","-0.12%"
