"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 16","3,804.02","3,831.00","3,837.77","3,783.94","72.87M","-0.83%"
"2022- 12- 15","3,835.70","3,950.02","3,950.02","3,831.21","49.10M","-3.51%"
"2022- 12- 14","3,975.26","3,980.71","3,980.71","3,955.15","26.72M","-0.29%"
"2022- 12- 13","3,986.83","3,926.36","4,035.15","3,923.93","33.65M","1.66%"
"2022- 12- 12","3,921.82","3,931.59","3,936.11","3,911.67","20.95M","-0.53%"
"2022- 12- 09","3,942.62","3,926.59","3,946.50","3,905.94","26.35M","0.54%"
"2022- 12- 08","3,921.27","3,926.17","3,931.08","3,903.93","19.98M","0.01%"
"2022- 12- 07","3,920.90","3,929.71","3,944.03","3,911.46","25.63M","-0.46%"
"2022- 12- 06","3,939.19","3,953.50","3,963.51","3,924.65","26.96M","-0.44%"
"2022- 12- 05","3,956.53","3,973.45","3,977.73","3,950.31","20.32M","-0.54%"
"2022- 12- 02","3,977.90","3,974.16","3,996.57","3,940.52","28.79M","-0.17%"
"2022- 12- 01","3,984.50","3,970.68","4,004.19","3,968.89","35.84M","0.50%"
"2022- 11- 30","3,964.72","3,945.71","3,972.69","3,943.46","54.93M","0.77%"
"2022- 11- 29","3,934.44","3,941.55","3,953.98","3,924.56","26.49M","-0.03%"
"2022- 11- 28","3,935.51","3,952.71","3,957.56","3,925.13","26.03M","-0.68%"
"2022- 11- 25","3,962.41","3,962.26","3,975.17","3,951.64","22.53M","0.01%"
"2022- 11- 24","3,961.99","3,948.78","3,976.43","3,947.16","21.29M","0.39%"
"2022- 11- 23","3,946.44","3,938.57","3,950.14","3,925.37","28.05M","0.42%"
"2022- 11- 22","3,929.90","3,903.80","3,935.55","3,901.14","32.16M","0.53%"
"2022- 11- 21","3,909.28","3,915.66","3,921.95","3,896.71","","-0.40%"
