"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","6,787.89","6,810.28","6,826.25","6,775.51","5.81B","-0.36%"
"2022- 12- 16","6,812.19","6,751.86","6,812.19","6,693.77","15.61B","0.89%"
"2022- 12- 15","6,751.86","6,801.79","6,801.84","6,740.96","14.51B","-0.73%"
"2022- 12- 14","6,801.75","6,810.36","6,854.10","6,774.13","21.54B","-0.13%"
"2022- 12- 13","6,810.32","6,734.49","6,826.12","6,714.87","39.61B","1.13%"
"2022- 12- 12","6,734.45","6,715.12","6,734.45","6,641.81","13.45B","0.29%"
"2022- 12- 09","6,715.12","6,804.23","6,804.23","6,695.38","12.71B","-1.31%"
"2022- 12- 08","6,804.23","6,818.79","6,821.05","6,683.63","16.23B","-0.21%"
"2022- 12- 07","6,818.75","6,892.57","6,892.66","6,799.30","15.87B","-1.07%"
"2022- 12- 06","6,892.57","6,987.37","6,987.37","6,862.56","14.97B","-1.36%"
"2022- 12- 05","6,987.33","7,019.64","7,053.90","6,987.33","16.53B","-0.46%"
"2022- 12- 02","7,019.64","7,020.80","7,021.81","6,967.95","13.95B","-0.02%"
"2022- 12- 01","7,020.80","7,081.19","7,090.28","7,018.27","16.80B","-0.85%"
"2022- 11- 30","7,081.31","7,012.11","7,081.31","6,993.70","27.35B","0.99%"
"2022- 11- 29","7,012.07","7,017.32","7,036.54","6,990.90","16.41B","-0.08%"
"2022- 11- 28","7,017.36","7,053.11","7,083.38","7,011.45","18.72B","-0.51%"
"2022- 11- 25","7,053.15","7,080.55","7,086.56","7,013.22","15.87B","-0.39%"
"2022- 11- 24","7,080.52","7,054.16","7,104.89","7,054.16","15.99B","0.37%"
"2022- 11- 23","7,054.12","7,030.63","7,089.69","7,026.39","15.75B","0.33%"
"2022- 11- 22","7,030.59","7,063.25","7,108.83","7,030.59","17.76B","-0.46%"
"2022- 11- 21","7,063.25","7,082.18","7,107.32","7,050.44","16.28B","-0.27%"
