"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","0.250","0.252","0.252","0.249","0.80%"
"2022년 12월 18일","0.249","0.249","0.249","0.249","-1.00%"
"2022년 12월 16일","0.251","0.254","0.256","0.251","-1.57%"
"2022년 12월 15일","0.255","0.252","0.257","0.251","1.59%"
"2022년 12월 14일","0.251","0.250","0.252","0.250","0.00%"
"2022년 12월 13일","0.251","0.250","0.252","0.250","0.00%"
"2022년 12월 12일","0.251","0.252","0.253","0.250","1.83%"
"2022년 12월 11일","0.247","0.246","0.247","0.246","-1.40%"
"2022년 12월 09일","0.250","0.250","0.251","0.250","0.00%"
"2022년 12월 08일","0.250","0.250","0.251","0.250","0.00%"
"2022년 12월 07일","0.250","0.250","0.251","0.250","-1.57%"
"2022년 12월 06일","0.254","0.254","0.255","0.250","1.20%"
"2022년 12월 05일","0.251","0.253","0.255","0.250","1.01%"
"2022년 12월 04일","0.249","0.249","0.249","0.249","-2.55%"
"2022년 12월 02일","0.255","0.250","0.256","0.250","0.00%"
"2022년 12월 01일","0.255","0.250","0.256","0.250","1.59%"
"2022년 11월 30일","0.251","0.251","0.251","0.250","0.00%"
"2022년 11월 29일","0.251","0.250","0.252","0.250","0.40%"
"2022년 11월 28일","0.250","0.250","0.251","0.250","1.42%"
"2022년 11월 27일","0.247","0.247","0.247","0.247","-1.40%"
"2022년 11월 25일","0.250","0.249","0.251","0.245","2.04%"
"2022년 11월 24일","0.245","0.244","0.246","0.240","1.87%"
"2022년 11월 23일","0.241","0.239","0.241","0.239","-1.84%"
"2022년 11월 22일","0.245","0.248","0.248","0.245","0.00%"
"2022년 11월 21일","0.245","0.250","0.250","0.245","0.41%"
"2022년 11월 20일","0.244","0.244","0.244","0.244","-0.41%"
