"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","-0.147","-0.143","-0.140","-0.148","-2.97%"
"2022년 12월 18일","-0.152","-0.152","-0.152","-0.152","-0.98%"
"2022년 12월 16일","-0.153","-0.174","-0.152","-0.235","-22.14%"
"2022년 12월 15일","-0.197","-0.163","-0.154","-0.197","8.26%"
"2022년 12월 14일","-0.182","-0.162","-0.153","-0.264","0.00%"
"2022년 12월 13일","-0.182","-0.163","-0.153","-0.264","0.00%"
"2022년 12월 12일","-0.182","-0.180","-0.177","-0.264","0.00%"
"2022년 12월 11일","-0.182","-0.182","-0.182","-0.182","10.00%"
"2022년 12월 09일","-0.165","-0.151","-0.150","-0.165","-2.37%"
"2022년 12월 08일","-0.169","-0.154","-0.146","-0.169","0.00%"
"2022년 12월 07일","-0.169","-0.152","-0.149","-0.169","0.00%"
"2022년 12월 06일","-0.169","-0.153","-0.146","-0.169","0.00%"
"2022년 12월 05일","-0.169","-0.167","-0.163","-0.169","0.00%"
"2022년 12월 04일","-0.169","-0.169","-0.169","-0.169","5.63%"
"2022년 12월 02일","-0.160","-0.180","-0.160","-0.180","-19.60%"
"2022년 12월 01일","-0.199","-0.179","-0.166","-0.199","0.00%"
"2022년 11월 30일","-0.199","-0.178","-0.171","-0.199","0.00%"
"2022년 11월 29일","-0.199","-0.178","-0.167","-0.199","0.00%"
"2022년 11월 28일","-0.199","-0.188","-0.183","-0.199","0.00%"
"2022년 11월 27일","-0.199","-0.199","-0.199","-0.199","0.51%"
"2022년 11월 25일","-0.198","-0.134","-0.133","-0.199","47.76%"
"2022년 11월 24일","-0.134","-0.135","-0.129","-0.138","0.00%"
"2022년 11월 23일","-0.134","-0.134","-0.134","-0.134","-1.47%"
"2022년 11월 22일","-0.136","-0.134","-0.129","-0.136","1.49%"
"2022년 11월 21일","-0.134","-0.118","-0.116","-0.141","12.61%"
"2022년 11월 20일","-0.119","-0.119","-0.119","-0.119","13.33%"
