"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","2.909","2.905","2.917","2.898","0.12%"
"2022년 12월 19일","2.905","2.926","2.926","2.893","-0.19%"
"2022년 12월 16일","2.911","2.943","2.943","2.906","0.07%"
"2022년 12월 15일","2.909","2.913","2.913","2.890","0.48%"
"2022년 12월 14일","2.895","2.954","2.954","2.888","-1.19%"
"2022년 12월 13일","2.930","2.923","2.943","2.920","0.24%"
"2022년 12월 12일","2.923","3.025","3.025","2.902","-0.07%"
"2022년 12월 09일","2.925","2.950","2.950","2.907","0.65%"
"2022년 12월 08일","2.906","2.932","2.932","2.887","0.14%"
"2022년 12월 07일","2.902","2.984","2.984","2.902","-1.56%"
"2022년 12월 06일","2.948","2.935","2.948","2.919","0.89%"
"2022년 12월 05일","2.922","2.950","2.980","2.906","0.65%"
"2022년 12월 02일","2.903","2.937","2.937","2.897","-0.14%"
"2022년 12월 01일","2.907","2.932","2.948","2.900","-0.55%"
"2022년 11월 30일","2.923","2.943","2.943","2.899","0.41%"
"2022년 11월 29일","2.911","2.880","2.911","2.875","1.53%"
"2022년 11월 28일","2.867","2.925","2.925","2.829","0.92%"
"2022년 11월 25일","2.841","2.828","2.841","2.797","1.21%"
"2022년 11월 24일","2.807","2.803","2.822","2.792","-0.32%"
"2022년 11월 23일","2.816","2.840","2.860","2.816","-1.02%"
"2022년 11월 22일","2.845","2.857","2.857","2.820","0.57%"
"2022년 11월 21일","2.829","2.870","2.900","2.804","-0.14%"
