"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","5.675","5.848","5.901","5.670","","-3.01%"
"2022- 12- 19","5.851","6.154","6.275","5.765","121.28K","-5.14%"
"2022- 12- 18","6.168","6.136","6.177","6.126","","-6.55%"
"2022- 12- 16","6.600","6.888","6.888","6.219","116.64K","-5.31%"
"2022- 12- 15","6.970","6.371","7.036","6.358","139.78K","8.40%"
"2022- 12- 14","6.430","6.951","6.961","6.337","139.04K","-7.28%"
"2022- 12- 13","6.935","6.534","7.105","6.499","168.11K","5.28%"
"2022- 12- 12","6.587","6.950","7.058","6.487","171.43K","5.48%"
"2022- 12- 09","6.245","5.930","6.391","5.794","160.03K","4.75%"
"2022- 12- 08","5.962","5.814","6.164","5.770","154.50K","4.18%"
"2022- 12- 07","5.723","5.388","5.850","5.383","172.96K","4.64%"
"2022- 12- 06","5.469","5.642","5.674","5.337","131.23K","-1.94%"
"2022- 12- 05","5.577","5.900","6.052","5.556","167.67K","-11.21%"
"2022- 12- 02","6.281","6.829","6.839","6.221","115.61K","-6.78%"
"2022- 12- 01","6.738","6.966","7.213","6.708","94.56K","-2.77%"
"2022- 11- 30","6.930","7.264","7.305","6.806","107.31K","-4.22%"
"2022- 11- 29","7.235","7.319","7.421","7.092","101.68K","7.79%"
"2022- 11- 28","6.712","6.870","6.980","6.500","3.65K","-4.44%"
"2022- 11- 25","7.024","7.332","7.400","6.800","35.51K","-2.13%"
"2022- 11- 24","7.177","7.307","7.404","7.100","","-1.79%"
"2022- 11- 23","7.308","6.900","7.604","6.887","59.05K","7.80%"
"2022- 11- 22","6.779","6.703","6.976","6.457","73.12K","0.04%"
"2022- 11- 21","6.776","6.333","6.837","6.145","107.82K","7.50%"
