"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","719.70","716.80","722.42","714.63","472.35K","0.32%"
"2022- 12- 16","717.41","711.33","720.48","710.20","889.44M","-0.73%"
"2022- 12- 15","722.68","725.32","730.51","721.46","957.41M","-0.87%"
"2022- 12- 14","729.00","718.17","729.17","718.17","1.08B","1.94%"
"2022- 12- 13","715.16","717.64","719.33","712.21","1.19B","-0.01%"
"2022- 12- 12","715.22","716.88","718.31","714.26","964.00M","-0.59%"
"2022- 12- 09","719.49","717.24","721.14","712.40","1.28B","0.98%"
"2022- 12- 08","712.52","718.37","719.69","711.08","1.07B","-0.78%"
"2022- 12- 07","718.14","715.63","722.62","711.63","982.85M","-0.18%"
"2022- 12- 06","719.44","726.32","727.34","719.29","926.87M","-1.89%"
"2022- 12- 05","733.32","736.45","739.77","731.07","1.06B","0.05%"
"2022- 12- 02","732.95","740.13","740.18","732.41","856.59M","-1.03%"
"2022- 12- 01","740.60","740.97","744.56","739.16","825.11M","1.52%"
"2022- 11- 30","729.54","726.56","729.54","722.40","813.57M","0.27%"
"2022- 11- 29","727.54","715.02","727.60","713.26","794.01M","1.34%"
"2022- 11- 28","717.90","731.81","731.81","717.13","878.68M","-2.13%"
"2022- 11- 25","733.56","737.46","737.53","732.48","710.33M","-0.63%"
"2022- 11- 24","738.22","729.41","738.70","729.41","793.57M","1.74%"
"2022- 11- 23","725.59","718.29","725.64","718.29","830.06M","1.87%"
"2022- 11- 22","712.26","716.24","719.80","711.92","895.81M","-0.88%"
"2022- 11- 21","718.57","733.00","733.65","717.55","981.80M","-1.82%"
