"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 20","2,079.42","2,090.08","2,095.28","2,071.61","31.57K","-0.94%"
"2022- 12- 19","2,099.16","2,095.74","2,107.14","2,088.20","32.54K","-0.23%"
"2022- 12- 16","2,104.10","2,074.18","2,104.10","2,072.89","49.93M","-0.01%"
"2022- 12- 15","2,104.33","2,127.66","2,134.37","2,104.33","39.82M","-1.99%"
"2022- 12- 14","2,147.09","2,129.46","2,148.93","2,128.08","37.25M","1.22%"
"2022- 12- 13","2,121.18","2,134.60","2,138.19","2,114.43","41.42M","-0.14%"
"2022- 12- 12","2,124.20","2,119.78","2,132.86","2,117.22","33.92M","-0.62%"
"2022- 12- 09","2,137.42","2,124.90","2,141.57","2,118.72","52.30M","1.09%"
"2022- 12- 08","2,114.35","2,117.14","2,119.53","2,100.12","54.37M","0.04%"
"2022- 12- 07","2,113.56","2,121.24","2,127.75","2,112.90","41.99M","-0.73%"
"2022- 12- 06","2,129.15","2,131.71","2,148.38","2,126.70","42.87M","-1.15%"
"2022- 12- 05","2,153.97","2,171.52","2,177.01","2,148.12","53.33M","-0.46%"
"2022- 12- 02","2,163.91","2,203.27","2,203.27","2,163.91","47.97M","-2.20%"
"2022- 12- 01","2,212.66","2,239.69","2,239.69","2,209.87","56.47M","0.27%"
"2022- 11- 30","2,206.80","2,157.14","2,206.80","2,156.33","73.99M","1.92%"
"2022- 11- 29","2,165.21","2,139.59","2,165.86","2,134.77","30.94M","1.05%"
"2022- 11- 28","2,142.76","2,153.27","2,153.95","2,134.80","35.00M","-1.18%"
"2022- 11- 25","2,168.34","2,176.31","2,184.39","2,166.47","30.54M","-0.43%"
"2022- 11- 24","2,177.65","2,170.81","2,178.02","2,163.01","32.69M","1.21%"
"2022- 11- 23","2,151.72","2,160.23","2,163.52","2,142.97","38.28M","0.58%"
"2022- 11- 22","2,139.24","2,149.20","2,164.16","2,137.88","37.38M","-1.11%"
"2022- 11- 21","2,163.21","2,180.72","2,183.03","2,151.18","37.07M","-0.79%"
