"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","2,352.17","2,350.78","2,358.76","2,342.28","312.33K","-0.33%"
"2022- 12- 16","2,360.02","2,329.75","2,360.44","2,326.83","414.17M","-0.04%"
"2022- 12- 15","2,360.97","2,383.83","2,392.11","2,360.95","375.39M","-1.60%"
"2022- 12- 14","2,399.25","2,380.81","2,400.18","2,379.44","409.80M","1.13%"
"2022- 12- 13","2,372.40","2,385.05","2,388.27","2,364.87","447.56M","-0.03%"
"2022- 12- 12","2,373.02","2,373.58","2,381.87","2,368.47","499.22M","-0.67%"
"2022- 12- 09","2,389.04","2,382.73","2,390.08","2,367.25","315.67M","0.76%"
"2022- 12- 08","2,371.08","2,386.90","2,387.95","2,357.20","351.94M","-0.49%"
"2022- 12- 07","2,382.81","2,385.87","2,394.88","2,377.98","332.59M","-0.43%"
"2022- 12- 06","2,393.16","2,397.70","2,416.88","2,390.20","368.64M","-1.08%"
"2022- 12- 05","2,419.32","2,442.17","2,442.22","2,413.05","385.59M","-0.62%"
"2022- 12- 02","2,434.33","2,471.50","2,471.50","2,434.33","468.85M","-1.84%"
"2022- 12- 01","2,479.84","2,501.43","2,501.43","2,474.33","491.38M","0.30%"
"2022- 11- 30","2,472.53","2,424.44","2,472.53","2,421.42","594.13M","1.61%"
"2022- 11- 29","2,433.39","2,405.54","2,433.87","2,401.10","550.17M","1.04%"
"2022- 11- 28","2,408.27","2,425.05","2,425.65","2,401.95","350.50M","-1.21%"
"2022- 11- 25","2,437.86","2,442.21","2,449.66","2,433.57","438.39M","-0.14%"
"2022- 11- 24","2,441.33","2,437.51","2,441.33","2,428.12","481.18M","0.96%"
"2022- 11- 23","2,418.01","2,424.36","2,427.28","2,407.58","474.79M","0.53%"
"2022- 11- 22","2,405.27","2,405.96","2,426.40","2,401.50","539.17M","-0.59%"
"2022- 11- 21","2,419.50","2,446.05","2,448.14","2,409.36","544.53M","-1.02%"
