"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 18일","9.701","9.701","9.701","9.701","-2.50%"
"2022년 12월 16일","9.950","9.950","9.950","9.950","-0.68%"
"2022년 12월 15일","10.018","10.257","10.018","10.018","-0.15%"
"2022년 12월 14일","10.033","10.240","10.033","10.033","0.32%"
"2022년 12월 13일","10.001","10.001","10.001","10.001","-1.26%"
"2022년 12월 12일","10.129","10.129","10.129","10.129","0.99%"
"2022년 12월 09일","10.030","10.030","10.030","10.030","-0.30%"
"2022년 12월 08일","10.060","10.060","10.060","10.060","2.31%"
"2022년 12월 07일","9.833","9.833","10.019","9.833","2.53%"
"2022년 12월 06일","9.590","9.590","10.019","9.590","-0.61%"
"2022년 12월 05일","9.649","9.649","9.649","9.649","0.09%"
"2022년 12월 04일","9.640","9.897","9.897","9.640","-2.85%"
"2022년 12월 03일","9.923","9.923","9.923","9.923","-0.08%"
"2022년 12월 02일","9.931","9.931","9.931","9.931","-1.18%"
"2022년 12월 01일","10.050","10.050","10.050","10.050","-4.01%"
"2022년 11월 30일","10.470","10.470","10.470","10.470","5.84%"
"2022년 11월 29일","9.892","10.440","9.892","9.892","0.50%"
"2022년 11월 28일","9.843","10.509","9.843","9.843","-6.01%"
"2022년 11월 27일","10.472","10.472","10.472","10.472","-0.03%"
"2022년 11월 26일","10.475","10.475","10.475","10.475","2.81%"
"2022년 11월 25일","10.189","10.497","10.189","10.189","-1.99%"
"2022년 11월 24일","10.396","10.553","10.396","10.396","-1.35%"
"2022년 11월 23일","10.538","10.528","10.538","10.538","0.36%"
"2022년 11월 22일","10.500","11.000","10.500","10.500","-8.48%"
"2022년 11월 21일","11.473","11.577","11.473","11.473","-4.36%"
"2022년 11월 20일","11.996","11.996","11.996","11.996","0.00%"
"2022년 11월 19일","11.996","11.996","11.996","11.996","0.35%"
