"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","9.245","9.310","9.310","9.245","1.59%"
"2022년 12월 13일","9.100","9.100","9.100","9.100","3.76%"
"2022년 12월 06일","8.770","9.420","9.420","8.510","-6.90%"
"2022년 12월 05일","9.420","9.420","9.420","9.420","11.48%"
"2022년 12월 02일","8.450","7.500","8.450","7.180","0.00%"
"2022년 12월 01일","8.450","8.450","8.450","8.450","0.00%"
"2022년 11월 30일","8.450","9.410","9.410","8.070","-10.20%"
"2022년 11월 29일","9.410","9.410","9.410","9.410","0.00%"
"2022년 11월 28일","9.410","10.370","10.370","8.770","-9.26%"
"2022년 11월 25일","10.370","10.370","10.370","10.370","-0.48%"
"2022년 11월 24일","10.420","10.420","10.420","10.420","-2.25%"
"2022년 11월 22일","10.660","10.790","10.790","10.660","-8.26%"
"2022년 11월 18일","11.620","11.400","11.620","10.960","-2.35%"
"2022년 11월 16일","11.900","11.890","11.900","11.890","-6.45%"
"2022년 11월 15일","12.720","12.720","12.720","12.720","2.00%"
"2022년 11월 09일","12.470","12.460","12.470","12.080","-2.20%"
"2022년 11월 04일","12.750","13.530","13.530","12.040","-8.34%"
"2022년 10월 31일","13.910","13.910","13.910","13.910","50.46%"
"2022년 12월 16일","9.245","9.310","9.310","9.245","1.59%"
"2022년 12월 13일","9.100","9.100","9.100","9.100","3.76%"
"2022년 12월 06일","8.770","9.420","9.420","8.510","-6.90%"
"2022년 12월 05일","9.420","9.420","9.420","9.420","11.48%"
"2022년 12월 02일","8.450","7.500","8.450","7.180","0.00%"
"2022년 12월 01일","8.450","8.450","8.450","8.450","0.00%"
"2022년 11월 30일","8.450","9.410","9.410","8.070","-10.20%"
"2022년 11월 29일","9.410","9.410","9.410","9.410","0.00%"
"2022년 11월 28일","9.410","10.370","10.370","8.770","-9.26%"
"2022년 11월 25일","10.370","10.370","10.370","10.370","-0.48%"
"2022년 11월 24일","10.420","10.420","10.420","10.420","-2.25%"
"2022년 11월 22일","10.660","10.790","10.790","10.660","-8.26%"
