"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 16","5,214.29","5,211.76","5,258.97","5,154.58","6.29B","0.49%"
"2022- 12- 15","5,188.82","5,174.41","5,247.84","5,050.36","6.52B","2.41%"
"2022- 12- 14","5,066.50","5,274.94","5,302.14","5,041.71","8.36B","-3.61%"
"2022- 12- 13","5,256.19","5,212.58","5,299.33","5,179.82","6.52B","1.21%"
"2022- 12- 12","5,193.30","5,057.53","5,222.55","5,057.53","6.91B","3.76%"
"2022- 12- 09","5,005.30","4,875.22","5,015.23","4,871.28","4.46B","3.08%"
"2022- 12- 08","4,855.92","4,823.33","4,859.27","4,711.43","4.74B","0.60%"
"2022- 12- 07","4,827.04","5,001.97","5,014.57","4,773.38","5.45B","-3.46%"
"2022- 12- 06","5,000.14","4,946.62","5,032.57","4,910.25","5.37B","0.85%"
"2022- 12- 05","4,957.77","4,993.74","5,010.57","4,883.73","5.49B","-0.10%"
"2022- 12- 02","4,962.97","5,054.48","5,054.48","4,912.84","4.83B","-1.65%"
"2022- 12- 01","5,046.19","5,046.30","5,091.68","5,001.72","5.54B","1.38%"
"2022- 11- 30","4,977.64","4,925.54","4,988.68","4,922.88","5.48B","0.31%"
"2022- 11- 29","4,962.48","4,942.83","4,988.20","4,817.31","5.43B","0.80%"
"2022- 11- 28","4,923.23","4,906.40","4,970.36","4,854.27","6.20B","1.00%"
"2022- 11- 25","4,874.34","4,857.09","4,891.36","4,807.59","5.82B","0.33%"
"2022- 11- 24","4,858.21","4,880.46","4,939.73","4,794.21","7.26B","0.08%"
"2022- 11- 23","4,854.16","4,803.88","4,864.81","4,727.83","6.51B","1.54%"
"2022- 11- 22","4,780.74","4,566.81","4,780.74","4,566.81","6.38B","4.60%"
"2022- 11- 21","4,570.32","4,503.10","4,570.32","4,463.53","5.16B","0.96%"
