"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","1,743.24","1,739.90","1,754.27","1,737.50","12.35M","0.11%"
"2022- 12- 16","1,741.30","1,746.54","1,755.89","1,726.58","41.76M","-0.87%"
"2022- 12- 15","1,756.52","1,778.90","1,778.90","1,746.02","18.70M","-1.73%"
"2022- 12- 14","1,787.37","1,785.11","1,793.02","1,778.37","17.00M","0.15%"
"2022- 12- 13","1,784.67","1,758.54","1,803.60","1,742.11","22.17M","1.67%"
"2022- 12- 12","1,755.34","1,729.82","1,759.39","1,714.22","14.74M","1.46%"
"2022- 12- 09","1,730.16","1,730.18","1,735.76","1,717.00","15.02M","0.26%"
"2022- 12- 08","1,725.66","1,735.17","1,735.41","1,715.72","14.82M","-0.58%"
"2022- 12- 07","1,735.66","1,730.50","1,739.05","1,720.19","14.51M","0.12%"
"2022- 12- 06","1,733.59","1,741.86","1,741.86","1,722.72","15.85M","-0.74%"
"2022- 12- 05","1,746.54","1,738.95","1,766.04","1,738.95","14.52M","0.75%"
"2022- 12- 02","1,733.46","1,765.02","1,765.02","1,730.43","27.96M","-1.86%"
"2022- 12- 01","1,766.38","1,754.83","1,766.38","1,741.13","34.26M","1.73%"
"2022- 11- 30","1,736.26","1,741.22","1,756.95","1,727.88","127.49M","0.00%"
"2022- 11- 29","1,736.19","1,740.55","1,744.71","1,718.31","27.85M","0.43%"
"2022- 11- 28","1,728.74","1,748.68","1,748.84","1,728.74","19.48M","-1.54%"
"2022- 11- 25","1,755.69","1,752.36","1,764.57","1,736.75","15.61M","0.10%"
"2022- 11- 24","1,753.95","1,724.66","1,753.95","1,721.85","19.39M","2.35%"
"2022- 11- 23","1,713.61","1,724.50","1,737.75","1,707.01","19.22M","-0.24%"
"2022- 11- 22","1,717.75","1,687.07","1,729.95","1,681.78","18.18M","1.91%"
"2022- 11- 21","1,685.50","1,706.43","1,706.47","1,683.15","20.86M","-1.27%"
