"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","2.941","2.908","2.957","2.891","0.56%"
"2022년 12월 16일","2.925","2.869","2.967","2.851","4.21%"
"2022년 12월 15일","2.807","2.745","2.850","2.662","4.46%"
"2022년 12월 14일","2.687","2.591","2.718","2.582","2.71%"
"2022년 12월 13일","2.616","2.635","2.653","2.518","0.12%"
"2022년 12월 12일","2.613","2.635","2.645","2.550","-0.34%"
"2022년 12월 09일","2.622","2.544","2.649","2.544","3.54%"
"2022년 12월 08일","2.532","2.525","2.570","2.499","0.38%"
"2022년 12월 07일","2.523","2.503","2.580","2.488","-0.02%"
"2022년 12월 06일","2.523","2.612","2.612","2.513","-2.79%"
"2022년 12월 05일","2.595","2.595","2.617","2.539","0.55%"
"2022년 12월 02일","2.581","2.562","2.609","2.529","0.54%"
"2022년 12월 01일","2.567","2.591","2.642","2.547","-3.85%"
"2022년 11월 30일","2.670","2.680","2.725","2.656","0.16%"
"2022년 11월 29일","2.666","2.696","2.720","2.642","-3.17%"
"2022년 11월 28일","2.753","2.693","2.788","2.675","1.21%"
"2022년 11월 25일","2.720","2.612","2.752","2.601","4.66%"
"2022년 11월 24일","2.599","2.651","2.652","2.569","-3.24%"
"2022년 11월 23일","2.686","2.795","2.837","2.662","-3.41%"
"2022년 11월 22일","2.781","2.804","2.837","2.765","-0.27%"
"2022년 11월 21일","2.789","2.805","2.865","2.752","-0.84%"
"2022년 11월 19일","2.812","2.812","2.812","2.812","-0.46%"
