"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","2.485","2.496","2.511","2.477","-2.85%"
"2022년 12월 19일","2.558","2.544","2.563","2.455","0.55%"
"2022년 12월 16일","2.544","2.493","2.571","2.450","3.08%"
"2022년 12월 15일","2.468","2.365","2.502","2.270","6.38%"
"2022년 12월 14일","2.320","2.310","2.340","2.255","-0.26%"
"2022년 12월 13일","2.326","2.347","2.350","2.248","-0.21%"
"2022년 12월 12일","2.331","2.355","2.356","2.254","2.64%"
"2022년 12월 09일","2.271","2.265","2.277","2.210","0.98%"
"2022년 12월 08일","2.249","2.223","2.258","2.223","0.85%"
"2022년 12월 07일","2.230","2.236","2.245","2.175","-0.45%"
"2022년 12월 06일","2.240","2.270","2.286","2.190","-0.88%"
"2022년 12월 05일","2.260","2.241","2.280","2.185","2.68%"
"2022년 12월 02일","2.201","2.199","2.211","2.120","0.50%"
"2022년 12월 01일","2.190","2.208","2.219","2.140","-1.44%"
"2022년 11월 30일","2.222","2.221","2.231","2.170","1.23%"
"2022년 11월 29일","2.195","2.191","2.209","2.120","-1.88%"
"2022년 11월 28일","2.237","2.234","2.278","2.200","2.15%"
"2022년 11월 25일","2.190","2.165","2.190","2.165","1.62%"
"2022년 11월 24일","2.155","2.165","2.165","2.150","-0.28%"
"2022년 11월 23일","2.161","2.161","2.161","2.161","0.51%"
"2022년 11월 22일","2.150","2.130","2.150","2.130","-0.46%"
"2022년 11월 21일","2.160","2.250","2.250","2.160","-3.14%"
