"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 16","6,452.63","6,505.63","6,515.70","6,418.95","156.20M","-1.08%"
"2022- 12- 15","6,522.77","6,674.29","6,680.22","6,503.00","103.76M","-3.09%"
"2022- 12- 14","6,730.79","6,727.75","6,733.85","6,694.33","76.95M","-0.21%"
"2022- 12- 13","6,744.98","6,672.22","6,823.10","6,642.09","86.74M","1.42%"
"2022- 12- 12","6,650.55","6,647.90","6,681.30","6,634.97","62.59M","-0.41%"
"2022- 12- 09","6,677.64","6,671.78","6,680.09","6,618.27","73.55M","0.46%"
"2022- 12- 08","6,647.31","6,677.00","6,679.57","6,629.36","67.34M","-0.20%"
"2022- 12- 07","6,660.59","6,687.34","6,696.65","6,642.44","70.96M","-0.41%"
"2022- 12- 06","6,687.79","6,677.49","6,704.74","6,656.93","68.97M","-0.14%"
"2022- 12- 05","6,696.96","6,728.71","6,738.97","6,685.52","65.00M","-0.67%"
"2022- 12- 02","6,742.25","6,728.86","6,767.72","6,689.76","73.97M","-0.17%"
"2022- 12- 01","6,753.97","6,784.60","6,791.31","6,730.55","76.83M","0.23%"
"2022- 11- 30","6,738.55","6,706.67","6,743.60","6,678.75","137.63M","1.04%"
"2022- 11- 29","6,668.97","6,686.96","6,695.86","6,649.88","64.66M","0.06%"
"2022- 11- 28","6,665.20","6,678.11","6,693.92","6,641.30","66.21M","-0.70%"
"2022- 11- 25","6,712.48","6,710.36","6,725.00","6,686.63","47.93M","0.08%"
"2022- 11- 24","6,707.32","6,683.44","6,730.16","6,679.80","53.78M","0.42%"
"2022- 11- 23","6,679.09","6,677.97","6,681.41","6,642.03","55.28M","0.32%"
"2022- 11- 22","6,657.53","6,643.70","6,669.17","6,615.58","63.96M","0.35%"
"2022- 11- 21","6,634.45","6,625.10","6,649.76","6,613.92","65.02M","-0.15%"
