"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 18일","3.375","3.375","3.375","3.375","0.00%"
"2022년 12월 17일","3.375","3.375","3.375","3.375","0.15%"
"2022년 12월 16일","3.370","3.370","3.370","3.370","-0.97%"
"2022년 12월 15일","3.403","3.400","3.403","3.400","-0.64%"
"2022년 12월 14일","3.425","3.425","3.425","3.425","-1.21%"
"2022년 12월 13일","3.467","3.467","3.467","3.467","0.06%"
"2022년 12월 12일","3.465","3.465","3.465","3.465","0.00%"
"2022년 12월 11일","3.465","3.465","3.465","3.465","0.00%"
"2022년 12월 10일","3.465","3.465","3.465","3.465","0.00%"
"2022년 12월 09일","3.465","3.465","3.465","3.465","-1.28%"
"2022년 12월 08일","3.510","3.510","3.510","3.510","-0.14%"
"2022년 12월 07일","3.515","3.515","3.515","3.515","0.51%"
"2022년 12월 06일","3.497","3.497","3.497","3.497","-1.27%"
"2022년 12월 05일","3.542","3.542","3.542","3.542","-0.92%"
"2022년 12월 04일","3.575","3.575","3.575","3.575","0.00%"
"2022년 12월 03일","3.575","3.575","3.575","3.575","0.00%"
"2022년 12월 02일","3.575","3.575","3.575","3.575","-2.59%"
"2022년 12월 01일","3.670","3.670","3.670","3.670","-1.08%"
"2022년 11월 30일","3.710","3.710","3.710","3.710","0.24%"
"2022년 11월 29일","3.701","3.702","3.702","3.701","0.84%"
"2022년 11월 28일","3.670","3.670","3.670","3.670","-0.14%"
"2022년 11월 27일","3.675","3.675","3.675","3.675","0.00%"
"2022년 11월 26일","3.675","3.675","3.675","3.675","0.00%"
"2022년 11월 25일","3.675","3.675","3.675","3.675","0.82%"
"2022년 11월 24일","3.645","3.645","3.645","3.645","-3.95%"
"2022년 11월 23일","3.795","3.795","3.795","3.795","-0.26%"
"2022년 11월 22일","3.805","3.805","3.805","3.805","0.90%"
"2022년 11월 21일","3.771","3.772","3.772","3.771","-0.11%"
"2022년 11월 20일","3.775","3.775","3.775","3.775","0.00%"
"2022년 11월 19일","3.775","3.775","3.775","3.775","0.00%"
