"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","19,352.81","19,450.67","19,786.29","19,256.84","","-0.50%"
"2022- 12- 16","19,450.67","19,343.70","19,621.13","19,130.53","2.88B","0.42%"
"2022- 12- 15","19,368.59","19,612.67","19,675.68","19,233.86","2.24B","-1.55%"
"2022- 12- 14","19,673.45","19,775.33","19,859.75","19,528.71","2.76B","0.39%"
"2022- 12- 13","19,596.20","19,458.02","19,707.75","19,382.30","2.58B","0.68%"
"2022- 12- 12","19,463.63","19,594.52","19,718.08","19,366.22","3.12B","-2.20%"
"2022- 12- 09","19,900.87","19,484.23","19,926.48","19,404.50","4.02B","2.32%"
"2022- 12- 08","19,450.23","18,965.05","19,521.60","18,965.05","2.86B","3.38%"
"2022- 12- 07","18,814.82","19,380.80","19,737.31","18,799.81","5.31B","-3.22%"
"2022- 12- 06","19,441.18","19,211.70","19,569.67","19,202.87","3.55B","-0.40%"
"2022- 12- 05","19,518.29","19,221.68","19,539.60","19,035.14","4.89B","4.51%"
"2022- 12- 02","18,675.35","18,785.28","18,841.22","18,530.82","3.76B","-0.33%"
"2022- 12- 01","18,736.44","19,058.90","19,237.45","18,679.35","4.26B","0.75%"
"2022- 11- 30","18,597.23","18,141.56","18,645.35","18,052.32","5.36B","2.16%"
"2022- 11- 29","18,204.68","17,558.60","18,204.68","17,536.45","4.27B","5.24%"
"2022- 11- 28","17,297.94","17,000.23","17,364.21","16,833.68","2.80B","-1.57%"
"2022- 11- 25","17,573.58","17,673.20","17,673.20","17,412.04","3.18B","-0.49%"
"2022- 11- 24","17,660.90","17,684.53","17,759.24","17,517.12","2.91B","0.78%"
"2022- 11- 23","17,523.81","17,460.90","17,640.84","17,375.96","2.42B","0.57%"
"2022- 11- 22","17,424.41","17,625.19","17,751.93","17,287.60","3.02B","-1.31%"
"2022- 11- 21","17,655.91","17,654.15","17,746.34","17,389.45","2.23B","-1.87%"
