"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 19","7,133.90","7,148.70","7,152.70","7,123.10","488.83M","-0.21%"
"2022- 12- 16","7,148.70","7,204.80","7,204.80","7,117.60","1.49B","-0.78%"
"2022- 12- 15","7,204.80","7,251.30","7,251.30","7,202.60","915.61M","-0.64%"
"2022- 12- 14","7,251.30","7,203.30","7,253.50","7,203.30","731.00M","0.67%"
"2022- 12- 13","7,203.30","7,180.80","7,228.10","7,180.80","641.32M","0.31%"
"2022- 12- 12","7,180.80","7,213.20","7,213.20","7,156.50","608.41M","-0.45%"
"2022- 12- 09","7,213.20","7,175.50","7,217.80","7,175.50","719.10M","0.53%"
"2022- 12- 08","7,175.50","7,229.40","7,229.40","7,170.00","833.78M","-0.75%"
"2022- 12- 07","7,229.40","7,291.30","7,291.30","7,220.60","813.38M","-0.85%"
"2022- 12- 06","7,291.30","7,325.60","7,325.60","7,283.00","700.93M","-0.47%"
"2022- 12- 05","7,325.60","7,301.50","7,351.00","7,301.50","650.32M","0.33%"
"2022- 12- 02","7,301.50","7,354.40","7,354.40","7,292.80","716.43M","-0.72%"
"2022- 12- 01","7,354.40","7,284.20","7,375.20","7,284.20","715.00M","0.96%"
"2022- 11- 30","7,284.20","7,253.30","7,293.70","7,222.30","1.85B","0.43%"
"2022- 11- 29","7,253.30","7,229.10","7,253.60","7,200.90","679.98M","0.33%"
"2022- 11- 28","7,229.10","7,259.50","7,259.50","7,216.00","700.99M","-0.42%"
"2022- 11- 25","7,259.50","7,241.80","7,268.50","7,239.40","552.06M","0.24%"
"2022- 11- 24","7,241.80","7,231.80","7,264.60","7,231.80","593.78M","0.14%"
"2022- 11- 23","7,231.80","7,181.30","7,246.60","7,181.30","575.73M","0.70%"
"2022- 11- 22","7,181.30","7,139.30","7,194.10","7,139.30","677.04M","0.59%"
"2022- 11- 21","7,139.30","7,151.80","7,174.40","7,131.70","598.63M","-0.17%"
