,시간,시가,고가,저가,종가,전일대비,거래량,거래대금,누적체결매도수량,상장주식수,시가총액,외국인주문한도수량,외국인주문가능수량,외국인현보유수량,외국인현보유비율,수정주가일자,수정주가비율,기관순매수량,기관누적순매수량,등락주선,등락비율,예탁금,주식회전율,거래성립률
20221121,0,9180,9220,8920,8920,-260,122918,1106000000,101675,27931000,249144000000,27931470,26667255,1264215,4.53000020980835,20221121,100.0,-8301,83679,0,0.0,0,0.0,0.0
20221118,0,9220,9320,9170,9180,-20,68597,633000000,42989,27931000,256406000000,27931470,26609857,1321613,4.730000019073486,20221118,100.0,-9143,91980,0,0.0,0,0.0,0.0
20221117,0,9370,9380,9180,9200,-190,119743,1107000000,59763,27931000,256965000000,27931470,26616566,1314904,4.710000038146973,20221117,100.0,-11783,101123,0,0.0,0,0.0,0.0
20221116,0,9600,9610,9360,9390,-160,89719,847000000,67745,27931000,262272000000,27931470,26626159,1305311,4.670000076293945,20221116,100.0,-18408,112906,0,0.0,0,0.0,0.0
20221115,0,9200,9560,9190,9550,280,120799,1137000000,23828,27931000,266741000000,27931470,26616874,1314596,4.710000038146973,20221115,100.0,-406,131314,0,0.0,0,0.0,0.0
20221114,0,9160,9390,9140,9270,100,92076,854000000,35382,27931000,258920000000,27931470,26640955,1290515,4.619999885559082,20221114,100.0,-62,131720,0,0.0,0,0.0,0.0
20221111,0,9190,9220,9120,9170,120,73753,676000000,42242,27931000,256127000000,27931470,26664954,1266516,4.53000020980835,20221111,100.0,459,131782,0,0.0,0,0.0,0.0
20221110,0,9070,9090,9000,9050,-60,61919,559000000,20744,27931000,252775000000,27931470,26653241,1278229,4.579999923706055,20221110,100.0,-95,131323,0,0.0,0,0.0,0.0
20221109,0,9120,9260,9100,9110,10,92077,842000000,47054,27931000,254451000000,27931470,26663601,1267869,4.539999961853027,20221109,100.0,-1364,131418,0,0.0,0,0.0,0.0
20221108,0,9110,9120,9070,9100,30,41204,375000000,16747,27931000,254172000000,27931470,26657647,1273823,4.559999942779541,20221108,100.0,141,132782,0,0.0,0,0.0,0.0
20221108,0,9110,9120,9070,9100,30,41204,375000000,16747,27931000,254172000000,27931470,26657647,1273823,4.559999942779541,20221108,100.0,141,107440,0,0.0,0,0.0,0.0
20221107,0,9020,9120,9010,9070,40,37763,342000000,10752,27931000,253334000000,27931470,26657872,1273598,4.559999942779541,20221107,100.0,-112,107299,0,0.0,0,0.0,0.0
20221104,0,9000,9080,8900,9030,30,55958,502000000,36912,27931000,252216000000,27931470,26671276,1260194,4.510000228881836,20221104,100.0,-22,107411,0,0.0,0,0.0,0.0
20221103,0,9060,9080,8980,9000,-80,36673,331000000,24088,27931000,251379000000,27931470,26655697,1275773,4.570000171661377,20221103,100.0,-16,107433,0,0.0,0,0.0,0.0
20221103,0,9060,9080,8980,9000,-80,36673,331000000,24088,27931000,251379000000,27931470,26655697,1275773,4.570000171661377,20221103,100.0,-16,109059,0,0.0,0,0.0,0.0
20221102,0,9040,9140,8970,9080,80,60165,546000000,17710,27931000,253613000000,27931470,26651334,1280136,4.579999923706055,20221102,100.0,-27,109075,0,0.0,0,0.0,0.0
20221101,0,9020,9030,8950,9000,-30,80296,721000000,41774,27931000,251379000000,27931470,26689333,1242137,4.449999809265137,20221101,100.0,-350,109102,0,0.0,0,0.0,0.0
20221031,0,9150,9170,8990,9030,-80,43488,394000000,30286,27931000,252216000000,27931470,26685139,1246331,4.460000038146973,20221031,100.0,293,109452,0,0.0,0,0.0,0.0
20221028,0,9200,9200,9050,9110,-10,34421,314000000,19128,27931000,254451000000,27931470,26679894,1251576,4.480000019073486,20221028,100.0,-1260,110035,0,0.0,0,0.0,0.0
20221027,0,9210,9220,9100,9120,-20,40294,369000000,20873,27931000,254730000000,27931470,26680200,1251270,4.480000019073486,20221027,100.0,601,111295,0,0.0,0,0.0,0.0
20221026,0,9180,9310,9090,9140,-50,79521,733000000,41483,27931000,255289000000,27931470,26679448,1252022,4.480000019073486,20221026,100.0,-178,110694,0,0.0,0,0.0,0.0
20221025,0,8870,9200,8870,9190,330,156743,1421000000,52938,27931000,256685000000,27931470,26682431,1249039,4.46999979019165,20221025,100.0,8329,110872,0,0.0,0,0.0,0.0
20221024,0,8870,8990,8800,8860,50,44573,395000000,24944,27931000,247468000000,27931470,26687235,1244235,4.449999809265137,20221024,100.0,388,102543,0,0.0,0,0.0,0.0
20221024,0,8870,8990,8800,8860,50,44573,395000000,24944,27931000,247468000000,27931470,26687235,1244235,4.449999809265137,20221024,100.0,388,102245,0,0.0,0,0.0,0.0
20221021,0,8870,8930,8800,8810,-90,26012,230000000,15126,27931000,246072000000,27931470,26686398,1245072,4.460000038146973,20221021,100.0,311,101857,0,0.0,0,0.0,0.0
20221020,0,8940,9020,8890,8900,-50,28700,257000000,15979,27931000,248585000000,27931470,26677087,1254383,4.489999771118164,20221020,100.0,376,101546,0,0.0,0,0.0,0.0
20221019,0,9040,9080,8900,8950,-80,38894,350000000,23950,27931000,249982000000,27931470,26673313,1258157,4.5,20221019,100.0,317,101170,0,0.0,0,0.0,0.0
20221019,0,9040,9080,8900,8950,-80,38894,350000000,23950,27931000,249982000000,27931470,26673313,1258157,4.5,20221019,100.0,317,101597,0,0.0,0,0.0,0.0
20221018,0,8950,9080,8950,9030,120,66005,595000000,23950,27931000,252216000000,27931470,26661490,1269980,4.550000190734863,20221018,100.0,4,101280,0,0.0,0,0.0,0.0
20221017,0,8540,8970,8530,8910,260,67863,596000000,20468,27931000,248865000000,27931470,26667387,1264083,4.53000020980835,20221017,100.0,12460,101276,0,0.0,0,0.0,0.0
20221014,0,8460,8710,8420,8650,250,62211,535000000,17108,27931000,241603000000,27931470,26677273,1254197,4.489999771118164,20221014,100.0,11338,88816,0,0.0,0,0.0,0.0
20221014,0,8460,8710,8420,8650,250,62211,535000000,17108,27931000,241603000000,27931470,26677273,1254197,4.489999771118164,20221014,100.0,11338,90740,0,0.0,0,0.0,0.0
20221013,0,8720,8720,8390,8400,-320,77677,660000000,63994,27931000,234620000000,27931470,26692036,1239434,4.440000057220459,20221013,100.0,34,79402,0,0.0,0,0.0,0.0
20221012,0,8570,8750,8570,8720,120,60733,526000000,34834,27931000,243558000000,27931470,26660327,1271143,4.550000190734863,20221012,100.0,122,79368,0,0.0,0,0.0,0.0
20221011,0,8650,8660,8450,8600,-160,105504,902000000,68842,27931000,240206000000,27931470,26659287,1272183,4.550000190734863,20221011,100.0,-145,79246,0,0.0,0,0.0,0.0
20221007,0,8770,8770,8620,8760,-20,27788,242000000,15517,27931000,244675000000,27931470,26652176,1279294,4.579999923706055,20221007,100.0,-225,80141,0,0.0,0,0.0,0.0
20221006,0,8620,8840,8620,8780,130,39005,342000000,13404,27931000,245234000000,27931470,26645216,1286254,4.610000133514404,20221006,100.0,355,80366,0,0.0,0,0.0,0.0
