date,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20180101,0.011111398,-0.000270659,-0.009637629,0.011877629,0.0004253,-0.001435025,-0.002387123,-0.006521886
20180102,0.011962396,0.004589309,-0.005469457,0.016519852,0.00018492,-0.001440031,-0.002541096,-0.00670917
20180103,0.010916893,0.007080602,-0.003536254,0.018925439,0.000221861,-0.000941811,-0.002201704,-0.006400163
20180104,-0.000350182,-0.000262882,-0.011982797,0.010502892,0.000443676,-0.000378662,-0.001773078,-0.005997368
20180105,0.007270042,0.012585353,3.39E-05,0.022817286,0.000415839,7.62E-05,-0.001459625,-0.005700811
20180106,0.007270042,0.012585353,3.39E-05,0.022817286,0.000415839,7.62E-05,-0.001459625,-0.005700811
20180107,0.007270042,0.012585353,3.39E-05,0.022817286,0.000415839,7.62E-05,-0.001459625,-0.005700811
20180108,0.009896131,0.018171926,0.005974345,0.028810947,-0.000203305,-0.000334946,-0.002001716,-0.006266899
20180109,0.006197756,0.015943373,0.004515831,0.027162159,-0.000157092,-0.000205595,-0.001798209,-0.006097071
20180110,0.000921742,0.010970527,0.000147771,0.022497364,-0.001784179,-0.00214394,-0.003667735,-0.008023028
20180111,-0.005527388,0.00584808,-0.004641607,0.017382343,-0.000499334,-0.001078953,-0.002520077,-0.006919742
20180112,-0.002037981,0.008566492,-0.001317179,0.02057789,-7.40E-05,-0.000861844,-0.002255819,-0.00669181
20180113,-0.002037981,0.008566492,-0.001317179,0.02057789,-7.40E-05,-0.000861844,-0.002255819,-0.00669181
20180114,-0.002037981,0.008566492,-0.001317179,0.02057789,-7.40E-05,-0.000861844,-0.002255819,-0.00669181
20180115,0.001649067,0.01104638,0.00146816,0.023292247,-0.001767766,-0.002948953,-0.004395473,-0.008879999
20180116,0.007925956,0.017245743,0.008344759,0.03031724,-9.26E-05,-0.001463202,-0.003001136,-0.007492781
20180117,0.004145227,0.014018041,0.005648101,0.027440053,-8.33E-05,-0.001308471,-0.002872896,-0.007347239
20180118,0.002064856,0.013478165,0.005627463,0.027336656,0.001120173,3.70E-05,-0.00151272,-0.005966438
20180119,0.001934494,0.014418148,0.007206452,0.028908012,0.001129337,0.000145652,-0.001372747,-0.005779319
20180120,0.001934494,0.014418148,0.007206452,0.028908012,0.001129337,0.000145652,-0.001372747,-0.005779319
20180121,0.001934494,0.014418148,0.007206452,0.028908012,0.001129337,0.000145652,-0.001372747,-0.005779319
20180122,-0.005152903,0.006510293,-0.000111048,0.02132248,-0.00015731,-0.000656672,-0.002237002,-0.006593976
20180123,0.007370034,0.018197825,0.013294048,0.035060297,0.000222035,-1.85E-05,-0.001626019,-0.005893928
20180124,0.00612234,0.016770911,0.013574093,0.035267207,-0.000656824,-0.000818584,-0.002447133,-0.006615665
20180125,0.012003105,0.023711859,0.022840039,0.044728214,3.70E-05,-0.000175749,-0.001826153,-0.005904426
20180126,0.012592703,0.025888063,0.027491112,0.049217726,-0.000666346,-0.001128564,-0.002795921,-0.006795817
20180127,0.012592703,0.025888063,0.027491112,0.049217726,-0.000666346,-0.001128564,-0.002795921,-0.006795817
20180128,0.012592703,0.025888063,0.027491112,0.049217726,-0.000666346,-0.001128564,-0.002795921,-0.006795817
20180129,0.014143075,0.03253497,0.036553504,0.058063088,-0.001277565,-0.001903581,-0.003668056,-0.007589347
20180130,-0.000172883,0.018650972,0.024259822,0.045149421,-0.001509916,-0.00255861,-0.004418802,-0.008290695
20180131,-0.002881264,0.016527883,0.023691443,0.044136725,-0.000555967,-0.001753826,-0.003700177,-0.007524159
20180201,-0.002562173,0.015299232,0.024390853,0.044339681,9.27E-05,-0.001316736,-0.003355557,-0.007127062
20180202,-0.015543848,-0.002306824,0.007315864,0.026343448,-0.000185443,-0.001673445,-0.003823159,-0.007553259
20180203,-0.015543848,-0.002306824,0.007315864,0.026343448,-0.000185443,-0.001673445,-0.003823159,-0.007553259
20180204,-0.015543848,-0.002306824,0.007315864,0.026343448,-0.000185443,-0.001673445,-0.003823159,-0.007553259
20180205,-0.020529273,-0.015177935,-0.005701364,0.012353004,0.000908526,-0.000319446,-0.00251454,-0.006200603
20180206,-0.026885169,-0.029278774,-0.020406657,-0.003462096,0.000324389,-0.000518586,-0.002764964,-0.006413023
20180207,-0.036407698,-0.049793663,-0.042133458,-0.026606843,0.000491118,-0.000143538,-0.002329315,-0.00594527
20180208,-0.01926979,-0.043886646,-0.036925566,-0.022274004,0.000231632,-0.000219951,-0.002422598,-0.005982703
20180209,-0.024284645,-0.058821418,-0.053438281,-0.040224481,0.000259351,0.000157447,-0.002056908,-0.005564291
20180210,-0.024284645,-0.058821418,-0.053438281,-0.040224481,0.000259351,0.000157447,-0.002056908,-0.005564291
20180211,-0.024284645,-0.058821418,-0.053438281,-0.040224481,0.000259351,0.000157447,-0.002056908,-0.005564291
20180212,-0.006641385,-0.047973924,-0.043936878,-0.031617733,6.48E-05,-8.10E-05,-0.002214068,-0.005641635
20180213,0.002295656,-0.041638434,-0.039108933,-0.027789541,0.000138921,0.000106503,-0.001970828,-0.005357063
20180214,0.011304721,-0.029161253,-0.027692406,-0.017176274,0.001101791,0.001298795,-0.000690082,-0.004021527
20180215,0.011304721,-0.029161253,-0.027692406,-0.017176274,0.001101791,0.001298795,-0.000690082,-0.004021527
